,content
635,　　秦煥明為我們勾勒出了中國一汽技術應用的願景：到2020年，中國一汽在智能化方面將實現L3級自動駕駛在紅旗系列產品上的逐步搭載；在信息化方面，結合5G的全面應用，建立完善的V2X體系，提升駕駛安全性，提高交通效率，打造悅享汽車生活。到2025年，中國一汽在智能化方面將實現L4級自動駕駛產品的系列化搭載；在信息化方面，基於物聯網大數據，整合社會出行資源，建立優質的移動出行服務生態圈。
636,"　　,兩款新車加入 四大品牌產品格局日益完善"
637,　　中國一汽還在新聞發佈會上發佈了兩款全新車型，其中駿派CX65是一汽自主品牌旗下首款跨界旅行車，運用全新智能互聯技術，憑藉著全新的設計理念、出色的產品質量，將為消費者帶來越級的價值感受。此外，駿派還推出一款全新A級轎車駿派A50，攜同平臺雙動力的駿派A70E和駿派A70、全新換代的SUV新駿派D60參展。越來越豐富的車型種類，凸顯出駿派品牌的多元化發展方向。
638,　　本次新聞發佈會上發佈的另一款新車紅旗H5，是紅旗品牌首款B級豪華轎車，主打運動風格。作為紅旗品牌年輕化的重要戰略車型，其車身線條設計動感流暢，外觀更顯運動時尚；更加人性化的智能科技以及豐富的安全配置，充分彰顯了汽車未來的發展趨勢。在中國一汽展臺，觀眾們還能體驗到紅旗LS5、紅旗HS7、紅旗HS5、紅旗H7、紅旗H7 PHEV等車型帶來的“理想”之美。
639,　　奔騰品牌旗下車型同樣引人注目，尤其是3月剛剛上市的奔騰X40，搭載的D-Life系統具備全語音控制及社交功能，代表了智能、時尚的用車生活方式。而奔騰品牌旗下全新奔騰X80、奔騰B70、全新奔騰B50等熱銷車型的助陣，以及即將上市的純電動車型奔騰B30 EV的亮相，讓觀眾感受到奔騰家族的蒸蒸日上。
640,　　森雅品牌攜即將在秋季上市的R7 1.5T車型參展，這款車型搭載了E-travel逸駕智聯繫統，可以實現遠程遙控、休閒娛樂、信息諮詢、交通駕駛等服務功能。尤其是具備智能語音識別功能，對一些方言也能準確識別。森雅R7自上市以來，快速成為細分市場的熱銷車型，此次1.5T車型的推出，表明森雅品牌正朝著精品化的方向前行。
641,　　本屆上海車展，中國一汽既展示了領先的技術實力，又呈現了包括紅旗H5、駿派CX65在內的全新車型，正以腳踏實地的行動，踐行“智行•創享”的內涵，將智能網聯、綠色低碳等技術領域的深厚積澱，不斷應用於車型產品，相信隨著更多先進技術逐步在新車型上的應用，越來越多的消費者將享受到智能網聯、綠色低碳的美好汽車生活。
642,"　　,中新網,4月21日電 日前，第十七屆上海國際汽車工業展覽會，廣汽三菱汽車有限公司(以下簡稱廣汽三菱)以“融創新紀 合享未來 ”為主題攜多款新車亮相國家會展中心(上海)7.2號館7B04展臺。廣汽三菱旗下的祺智-PHEV、歐藍德、全新勁炫、新帕傑羅•勁暢以及進口帕傑羅五款車型悉數亮相本次車展，在本次車展上，廣汽三菱推出了首款由廣汽集團研發導入的產品——插電式混合動力SUV祺智。此舉不僅邁出了廣汽三菱的堅實步伐，響應了國家發展清潔能源汽車的號召，也以行業首創的汽車企業合資模式，拉開了真正汽車合資時代的帷幕。"
643,　　走“品牌+技術”的新“合資”之路
644,　　中國汽車合資企業已經走過了三十餘年，從資本合作到技術合作，現在已經進入了“品牌+技術”合作的深度階段。2016年，廣汽三菱發佈全新企業標識，傳達出廣汽集團與三菱汽車、三菱商事平等、互利、共贏的新發展態勢。今年，廣汽集團與三菱汽車開展了更為緊密和深入的合作，深化了良好的溝通合作機制，短短一個月內，雙方高層進行了多次交流會晤，步入合作深化階段。
645,　　在股東方的助力下，2017年第一季度獲得了喜人的銷售成績，連續三個月大幅度增長。營銷層面也全面發力，廣汽三菱通過贊助湖南衛視2017年王牌綜藝《歌手》等一系列品牌營銷活動，不僅讓歐藍德“2047”的產品印記深入人心，還助推了廣汽三菱的銷量與品牌形象。同時，廣汽三菱也完成了全產業鏈佈局的重要一步。3月底，廣汽三菱發動機工廠在長沙正式開工，發動機工廠一期年產能15萬臺，預計將於2018年正式投產，將使企業具備研發、生產核心零部件的能力，標誌著廣汽三菱汽車由單純的整車製造企業向完善的全領域高端汽車企業突破與進化。
646,"　　此外，在本次上海車展上，廣汽三菱與易鑫集團(以下簡稱“易鑫”)達成戰略合作，易鑫與廣汽三菱2017年初步意向購入10000臺車用於融資租賃服務。易鑫是中國最大的專業汽車融資租賃平臺，擁有著良好的用戶體驗和龐大的資金實力。廣汽三菱與易鑫的戰略合作，將以“互聯網+”的先進模式，打通線上與線下環節,充分挖掘互聯網汽車金融的“藍海”。雙方將以強強聯合、優勢互補的方式，通過廣汽三菱優質的汽車產品和易鑫極具市場競爭力的汽車金融方案“跨界合作”，從品牌合作、新車銷售、金融服務、渠道擴展、營銷整合、渠道整合等層面為廣汽三菱客戶提供全方位的金融服務和金融產品，從而獲得更舒適、愉悅、方便的購車體驗。"
647,　　首款插電式混合動力新車“祺智”發佈 將“SUV+新能源”進行到底
648,　　在本次車展上，廣汽三菱發佈了旗下首款新能源車型——插電式混合動力SUV祺智。祺智是從廣汽集團導入到廣汽三菱進行生產製造的首款車型，這款車型對於廣汽三菱，對於廣汽集團，對於合資企業和中國汽車行業都有著里程碑式的意義。祺智的導入意味著廣汽三菱的股東方合作已經超越了資本或技術等的層面，進入了技術+品牌層面的合作階段。
649,　　祺智PHEV搭載1.5L阿特金森循環發動機及GMC無級變速機電耦合系統，並採用自主開發的液冷動力電池系統；該車型可實現純電驅動、增程及混合動力多種驅動模式，動力性及經濟性處於行業領先水平。
650,"　　作為一款插電式混合動力車型， 祺智具有卓越的油耗表現，百公里綜合工況油耗僅1.8L，純電續航里程達58KM,無電行駛油耗6.2L，能滿足人們日常出行需求。"
651,　　此外，祺智具有優良的駕控體驗， 1.5L阿特金森循環發動機+12KWH的三元鋰電池輸出的雙擎動力，較一般汽油車動力更充沛，再加上配合GMC無級變速機電耦合系統駕駛平順性更好。
652,　　除了整體的高質量，在細節方面“祺智”也不遺餘力。電子手剎、一鍵啟動、車聯網、胎壓監測等一系列科技及安全配置一應俱全，極大滿足了消費者的駕駛和安全需求。祺智依託廣汽集團的核心技術與三菱汽車的品質把控，將以成熟的技術、值得信賴的品質和舒適的駕乘體驗成為新能源汽車市場上的實力車型。
653,　　本屆上海車展，廣汽三菱發佈了“五年十款新車”的產品導入計劃(2016-2020)的第三款新車型，為2017年廣汽三菱實現跨越式發展開了一個好頭。隨著股東方來到平等、互信的新高度，廣汽三菱將繼續引入卓越領先的造車技術，製造專業優質的汽車產品，從技術研發、產品導入、聯合採購、生產設施、銷售體系全面發力，不斷地為中國消費者詮釋全新汽車生活。
654,"　　,中新網,4月21日電 4月20日，由商務部、科技部、國家知識產權局和上海市人民政府聯合主辦的第五屆中國(上海)國際技術進出口交易會(“上交會”)在上海世博展覽館開幕。來自上海市、商務部、科技部領導、荷蘭農業部部長和千餘家中外企業參加了開幕儀式。"
655,　　銀隆新能源作為新能源領域領軍企業受邀參展，銀隆新能源明星車型12米仿古鐺鐺車、18米BRT、廣通艾菲商務車、鈦酸鋰電池、材料產品、儲能生態圈沙盤也亮相上交會。
656,　　在題為“創新引領發展，技術改變世界”的開幕論壇上，格力電器董事長兼總裁、銀隆新能源股份有限公司名譽董事長董明珠做了主題演講。她在演講中表示，知識、技術、創新改變世界，中國也一樣，在供給側改革的時代，對中國來說是一個全新的時代。中國的企業家也有能力和擔當，能夠和世界上先進的企業共同開發、共同研究，來支撐起全球的發展和我們人類的未來。目前，格力電器在發展的過程中，從空調領域已經跨越到了智能裝備的時代。
657,　　在提到為什麼舉債投資銀隆時，董明珠說，因為新能源領域，今天資源越來越匱乏、環境保護越來越迫切需要技術升級，傳統汽車無形中對空氣的汙染排放、資源消耗，都需要我們面對、解決。銀隆的新能源技術，給我們帶來了一個挑戰和改變。我們希望在新能源領域裡中國的企業能和世界的企業共同討論，共同研究。雖然銀隆今天的技術可以讓大巴的電池使用壽命十年不變，同時保證安全、便利，但這一點還不夠，一個好的企業，不是因為你做到了老大，而是因為你不斷的挑戰自己，因此銀隆把自己的技不斷升級。過去我們對中國製造講“彎道超車”，但新能源領域，我們應該在一個起跑線上來競爭、賽跑。
658,　　董明珠還表示，“我個人的夢想不僅要把格力打造成全球70億人都喜歡的產品，也希望把銀隆鈦的技術，通過自己不斷的自我挑戰，讓銀隆鈦的新能源電池技術在世界上有話語權的同時，能成為一個領導者。”
659,　　在當日舉行的主題為“創新引領，讓世界聽見”的電視圓桌論壇上，銀隆新能源股份有限公司董事長魏銀倉在回答主持人提問“銀隆是如何迅速崛起併成了新能源的領頭羊”時表示，“這可能是一種命運，也可能是一種機遇。今天的會議主題是創新，非常吻合銀隆的發展歷史，銀隆也是靠創新成功的。銀隆無論在研發、培育企業的發展方式、生產產品、商業模式上都是靠創新成功的。所以才吸引王健林、劉強東、董總投資銀隆，他們看中銀隆的是儲能產業，以後買萬達的房子，是永遠不會停電的房子，永遠是綠色建築的家庭。董總說，當你享受格力帶來的新的生活的時候，這不是一種心血來潮的許願，技術進步的今天，其實創意就是廝殺、革命，是顛覆，創意就是搏鬥，否則就不是創新。”
660,　　在談到銀隆如何創新時，魏銀倉表示，“銀隆的技術路線和研發方式跟國內新能源企業有所不同。銀隆是全球唯一也是最早在這個行業先建工廠後期研發的企業，在研發方式上顛覆了過去從理論研究——學術研究——業務研究一個漫長的過程。新時期互聯網技術、計算機技術發展到今天，對加速成果的轉化、產品進入市場的時間，研發不創新是不行的。所以，我們是工廠化的研發，雖然研發成本高，但是成果轉化快。”
661,"　　,產業創新“控制兩端，放開中間”"
662,　　魏銀倉介紹，“兩端，一是核心技術，中端是商業模式，放開中間就是把製造、資本、產業進行社會整合，因為我們國家不能都去建新廠、重複浪費土地、重複建設重複投資，這是很可怕的，就像新能源汽車一樣，傳統車閒置產能上千萬臺，犧牲了土地、重新投資建一個新廠，這叫重複浪費重複投資。銀隆產業發展上的創新模式，是控制兩端、放開中間，通過整合社會資源，避免重複浪費重複建設，節約土地和資本，快速見效。這是我們在產業上的創新經驗。”
663,"　　,商業模式創新實現供給側改革"
664,　　魏銀倉表示，“銀隆剛起步，既不像奔馳、寶馬是百年老品牌，又沒有龐大的傳統的積累，但是銀隆前年進入行業前十名，去年進了第五，今年還會再進步，這就依託了商業模式的創新。首先這個創新，要解決社會問題、政府難題，為了培養稅源和結構調整參與的一系列創新。在公共交通領域，我們不讓政府補貼、負債和投入，真正實現了供給側改革，實現了可持續發展，讓政府輕資產、零風險、零責任、零負債。所以銀隆在創新引領上，做了一些業績。”
665,　　魏銀倉還表示，從去年到今年銀隆從一個低調的企業逐漸進入大眾視野，一方面是因為去年被格力收購以及董明珠、萬達、京東、中集、北京燕趙匯一起參股使其名聲大噪。另一方面也是因為其作為鈦酸鋰電池的代表，打破我國動力電池原有的格局，開創了鈦酸鋰、磷酸鐵鋰、三元鋰電池三分天下的新局面。其掌握的“銀隆鈦”攻克了業內公認的“五大問題”，實現6分鐘快速充電、耐寬溫、30年循環使用壽命、不起火不爆炸等優良特性，這為新能源汽車在動力電池應用發展方面提供了新的技術支撐。
666,"　　,中新網,4月21日電 日前，第十七屆上海國際車展在上海國際展覽中心舉行，作為國際最具影響力的汽車大展之一，每年的上海車展都成為各大汽車廠商競相爭芳鬥豔的“競技場”。在今年的車展中，各大車企廠商也是紛紛拿出自己的看家本領，攜愛車紛紛亮相。"
667,　　細心的參觀者會發現，在今年參展的大部分車企中，有相當數量的車企都推出了自己的新能源品牌汽車，比如作為中國汽車行業龍頭老大的東風汽車，今年就一下子攜10款新能源汽車亮相車展，吸引了大量參觀者的目光。據統計，在今年參展的1400多輛新車中，其中新能源汽車就有159輛，佔比超過11%。通過這次車展我們可以看出，目前新能源汽車不但已經成為各大汽車廠商熱議追捧的對象，更是代表了整個汽車行業、甚至是整個社會產業發展的一個趨勢。
668,　　在新能源汽車放量發展的背景之下，各大車企應該如何既能保持自己獨特的品牌優勢，又能在紅海中尋求突圍，為了探討這些問題，由中國汽車流通協會和中國汽車技術研究中心主辦、中國汽車流動協會新能源分會協辦的主題為“2017新能源汽車銷售與服務”的研討會，在此次車展期間吸引了眾多目光。
669,　　此次研討會匯聚了國內知名整車企業、流通企業和相關上下游企業的眾多重量級嘉賓，議題重點主要聚焦於新能源汽車的銷售和服務環節。來自行業內的十餘位專家學者、汽車企業高管針對2017年新能源汽車市場的發展趨勢、新能源汽車如何解決“三包”服務以及如何鍛造新能源汽車品牌等話題進行了探討和交流。
670,　　在會上，中國汽車流通協會會長沈進軍指出，目前由於政策的滯後，我國新能源汽車在服務方面主要面臨著“三包” 難的問題，而這種問題不僅損害消費者的切身利益，同時也讓眾多汽車廠商和流通企業十分頭疼。
671,　　根據規定，傳統的汽車在“三包”中僅涉及到傳統燃油汽車的主要零部件發動機、變速箱等，但是這些並不屬於新能源汽車零部件。而新能源汽車的核心“三電”即電池、電機和電控在傳統的“三包”中又沒有涉及。因此，隨著新能源汽車產銷量的不斷增加，消費者和車企每年在這些方面都會產生大量的糾紛。
672,　　而與會的車企代表則表示，“三包”問題也是他們的心頭之痛。由於各地對新能源汽車“三包”質保期的期限要遠高於傳統汽車的有效期，而且新能源汽車普遍行駛里程較少，一旦發生退換車時，如果按照“三包”規定的補償費用計算，那麼對企業來講也是一筆不小的負擔。為了解決一系列問題，推動新能源汽車市場快速健康發展，中國汽車技術研究中心黨委書記於凱表示，近年來他們在相關院所相繼成立了專門的新能源汽車政策、標準、研發、檢測等業務部門，開展了一系列廣泛、深入的研究工作。
673,　　近期，中國汽車流通協會也應國家質量監督檢驗檢疫總局、國家缺陷產品管理中心要求，開展了一系列調研和論證工作，根據要求正在完善汽車“三包”中新能源汽車相關規定。由於新能源汽車在技術方面的迭代速度在加快，迭代週期在縮短，因此主管部門在制定相關政策時也要充分考慮到增加政策的彈性和可預見性。
674,　　本報訊 “最近我們法院放在淘寶司法拍賣平臺上的車子，每週都能賣掉三五輛，真是蠻火的。”昨天，杭州上城法院負責網絡司法拍賣的王法官告訴錢報記者，這些火爆的車子有個共同特點——帶浙A牌照。
675,　　讓王法官印象比較深的是一輛北京現代帶浙A牌照車，估價1萬元左右，經過40次出價，最終成交價達到4萬元。“來拍車的很多人都是為了一塊車牌。”王法官說。
676,　　據瞭解，網絡司法拍賣平臺上，杭州地區法院提交的拍賣車輛，基本都是浙A牌照。
677,　　“在杭州，取得車牌最主要的途徑是搖號和競價。網絡司法拍賣提供了第三種途徑。”王法官說，網絡司法拍賣都是帶牌銷售。如果競拍人蔘與網絡司法拍賣，同時競拍人符合杭州小客車指標申請資格的，競拍成功這輛車，可以同時擁有小客車指標。“司法拍賣的浙A牌照汽車，折算下來的車牌價格會低於直接競拍車牌的價格。”王法官說。
678,　　“要特別提醒，車輛要先通過年檢後才能辦理過戶手續。”王法官也發現，有部分人為了車牌有些衝動，沒有提前去實地看車輛狀況，也沒有考慮到車輛的維修、年檢成本及其他遺留問題。　　 本報記者 方力 通訊員 尚法
679,"　　,中新社,上海4月21日電 (記者 閆曉虹)業內預計：2017年中國新能源汽車有望保持4%的增速，其流通模式將面臨深刻變革。"
680,　　作為全球最具影響力的汽車大展之一，在此間舉辦的第十七屆上海國際車展已成為中外車商競相鬥豔的“競技場”。在今年參展的1400多輛新車中，新能源汽車有159輛，佔比超過一成。由中國汽車流通協會和中國汽車技術研究中心主辦的“2017新能源汽車銷售與服務研討會”聚焦了業內關注的目光。
681,　　中國汽車技術研究中心黨委書記於凱稱，近年來中國新能源汽車產業快速發展，2015年已成為全球最大市場，2016年銷量超50萬輛，在汽車總銷量的佔比達1.8%，保有量接近100萬輛，處於世界領先水平。中國新能源汽車在服務、自動化方面不斷提高，迄今其充電設施公共服務累積註冊用戶6萬人，累積充電量200多萬千瓦時。
682,　　據業內專家介紹，目前中國新能源汽車的銷售大致有四種模式，一種是傳統的4S店；另一種是超市式的，一個超市裡有多品牌同時銷售；第三個是直銷式的，比如特斯拉；還有一種是將其功能分成兩部分，分別在線上和線下執行，更超前的做法甚至將其分成4份，每項功能獨立開展，有的負責售後，有的負責銷售，有的負責信息化數據，還有的負責信息反饋，這種模式通常被用作大客戶的整體解決方案。
683,　　中國汽車流通協會會長沈進軍表示，由於新能源汽車基本不需要一些日常的維修和保養，因此未來經銷商的發展模式可能會從原來的“銷售—維修”向“展示—體驗”轉變。
684,　　與會專家認為，中國新能源汽車已在技術上顛覆了傳統汽車的模式，未來還應繼續深化在銷售、推廣及服務等方面的變革，只有在生產、流通、服務等各個環節都打破桎梏，中國新能源汽車的發展才會真正再上一個新臺階。
685,　　按照國家計劃，2018年中國新能源汽車補貼將在2017年的基礎上進一步下降二成，到2020年中國新能源汽車行業將有望徹底告別補貼。
686,　　中國電動汽車百人會首席專家張永偉指出，中國新能源汽車作為一個新興業態，不但改變了汽車行業的發展模式，還帶動了信息技術、物聯網、能源、材料和城市基礎設施建設等方面的發展。但另一方面，現在有許多新能源車企都是依靠政策補貼、行業補貼等來實現生存和盈利的，這樣的發展模式容易掩蓋很多問題。當中國新能源汽車進入“後補貼時代”時，大家需要比拼的就是內功。
687,　　根據“《中國製造2025》節能與新能源汽車領域發展路線”預測：2020年中國新能源汽車年銷量約佔汽車總銷量的7%到10%，保有量超過500萬輛；2025年，其銷量約佔汽車總銷量的15%到20%，保有量超過2000萬輛，市場增長空間巨大。
688,　　與會專家表示，對未來中國新能源汽車業的發展前景抱有極大信心。在政策推動和市場拉動下，隨著技術快速提升、產品逐步豐富、充電基礎設施不斷完善，消費者對新能源汽車的接受度也逐漸提高。
689,　　同時，中國新能源車必須走出曾經的“安全區”，以更好的服務、更優秀的品牌和更強大的技術作為突破口，讓舒適的用戶體驗和良好的口碑成為檢驗新能源汽車的最終標準。(完)
690,"　　,中新網,4月21日電 近日，2017年第十七屆上海國際汽車工業展覽會開幕。作為全球汽車產業的風向標，上海車展今年也釋放出不少行業變革的信號。而各品牌廠家，也正在努力著尋找自己的方向，迎合這場變革，爭奪通往未來的“入場券”。車展期間，本田技研工業株式會社執行董事兼中國本部長水野泰秀接受了媒體的採訪闡述了本田未來在中國的發展計劃，他表示，為了適應日益增長的中國汽車市場和不斷升級的消費格局，本田在擴充產能的同時也在著力佈局高端品牌謳歌在華髮展戰略。"
691,　　目前，中國汽車消費與日俱增，市場空間依舊很大，而且還有迅速升級的高壓態勢。伴隨著相關汽車行業政策出臺，對汽車業企業也提出了一張“考卷”。而本田汽車近來的銷量增長可觀，產能問題受各方關注。對此水野泰秀指出，目前東風本田有兩個工廠，廣汽本田有三個工廠，產能共計60萬輛。當下應對產能不足要通過對員工出勤方式作一些調整，比如三班倒的形式，來實現更多的產量。而東風本田方面還沒有第三工廠以外更多的計劃，目前力求先把第三工廠建起來，進一步擴充基本產能。
692,　　數據顯示，本田汽車在華表現屬三大日系品牌成長最快的。細究原因，水野泰秀認為是導入了完整的SUV產品陣營的結果。本田有小型SUV，也有CR-V，還有大型SUV冠道、UR-V，產品陣營很完整。另外一個因素就是核心車型的迴歸，車型銷量的恢復。第一個車型是思域投放了1.0T和1.5T混合動力車型，時尚的外觀也得到了廣大消費者的好評。另一個是核心車型雅閣的迴歸。雅閣在改版之後銷量非常穩健，雅閣銳·混動月銷量也達到1000臺的成績，雅閣品牌整體達到月銷量15000臺。
693,　　面對高端汽車市場的增長，水野泰秀認為謳歌要走的路還很長，希望謳歌品牌能夠躋身豪華品牌行列，希望它成為豪華品牌當中比較特別的一個。本田希望謳歌在行駛性能(包括SUV)方面，通過搭載的先進配置，讓客戶感受到行駛和轉向時的暢快，希望能帶給客戶高性能的感覺。
694,　　水野泰秀還指出，謳歌當下計劃是推進和加快實現3萬輛目標，首先通過進一步推進國產化、本地化生產，目前已經國產化了CDX，未來還將實現TLX和RDX的國產，因為國產化將會帶來更合適的價格區間，讓謳歌進入消費者更能夠夠得著的產品價格帶。二就是完善和強化謳歌的經銷商網絡：到目前為止，謳歌一般是採用進口的方式進行銷售，現在有五十多家經銷商。接下來謳歌進一步打造健全經營的經銷商網絡，強化經銷商的能力，把店鋪規模網絡擴充到九十家左右。三是謳歌將進一步發力營銷，去年在NSX發佈的時候，謳歌啟用塞納代言。接下來在新產品投入的時候，會有更好的廣宣來提升品牌的音量。
695,　　對與當下熱議的自動化和智能駕駛技術，水野泰秀也介紹了本田的自動化發展計劃。他指出，未來電動化方面所涉及到的主要是電動化控制，自動駕駛方面，例如與自動駕駛相結合的地圖。對此，接下來本田也需要與這些不同領域的企業進行合作。目前，本田已經在和高德地圖合作。而在電動化控制方面，中國在IT和電動化控制技術方面已經是具有非常先進水平的國家，本田也將和一些具有優秀實力的企業進行溝通，就像在美國的Waymo，本田目前在中國也在尋求這樣的合作伙伴。
696,"　　,中新網,4月18日電 4月17日，以“電動•未來王朝創造”為主題的比亞迪品牌盛典在上海舉行，來自世界各地的超過2000名行業精英、媒體及迪粉齊聚一堂，聚全球智慧，共譜電動藍圖。比亞迪股份有限公司董事長兼總裁王傳福分享“治汙+治堵”解決方案，設計大師沃爾夫岡•艾格攜王朝概念車首次亮相，奧斯卡影帝萊昂納多號召“為地球降溫1℃”。兩款重磅新車——宋DM、宋EV300也於盛典現場正式上市，為消費者帶來更多購車選擇，宋也成為全球首款“全擎全動力”的車型。"
697,"　　,綠色大交通為城市“治汙”、“治堵”"
698,　　比亞迪將企業發展與社會需求相結合，發揮在新能源領域的優勢，為社會提供服務。在本屆品牌盛典上，比亞迪針對當前城市化進程加劇而產生的空氣汙染、交通擁堵等問題，提出了基於“三電”(電池、電機、電控)核心科技的“治汙+治堵”解決方案。一方面積極推進“城市公交電動化”解決方案和“7+4”戰略，減少尾氣排放，另一方面藉助雲軌高空疏解地面交通擁堵，用綠色大交通為城市治汙、治堵。
699,"　　,聚全球智慧 鑄國際品牌"
700,　　不僅在公共交通領域踐行環保，在乘用車市場，比亞迪也通過聚全球智慧、鑄國際品牌。目前，比亞迪正在建立國際化的工程師隊伍，在汽車設計、底盤工藝等方面，已有一些世界級的團隊加入。以設計為例，知名設計師沃爾夫岡•艾格攜加盟比亞迪後的首款作品——王朝概念車亮相品牌盛典。“Dragon Face”前臉莊重大氣，獨具中國特色。整車造型突出懸浮感，車身輕盈動感，充分彰顯出新能源車的速度感和力量感。整車設計融合傳統與未來，其設計語言及風格也將融入到比亞迪的後續車型中。
701,　　在新能源車推廣上，比亞迪也攜手全球“夥伴”共同發力。在聯合奧斯卡影帝、聯合國氣候變化“和平大使”萊昂納多發出“為地球降溫1℃”的號召的同時，比亞迪積極聯合購車、用車各個環節的領軍企業，打造“電動未來”生態圈，合力推動新能源車市場的發展。在品牌盛典現場，“電動未來”生態圈整合13億度出行用電資源，與新能源車車主分享。
702,"　　,宋DM、宋EV上市打造全球首款“全擎全動力” 車型"
703,　　比亞迪宋DM、宋EV300於品牌盛典正式上市，宋DM定位於4.9秒疾速中級SUV，宋EV300定位於專業級主流純電SUV。其中，宋DM補貼後全國統一價為17.99萬元--20.99萬元，宋EV300補貼後全國統一價為19.99萬元--20.99萬元。首批萬名訂車用戶每人可以享受1萬元電動未來生態禮包。
704,　　宋DM、宋EV300和已上市熱銷的宋蓋世版共享成熟車型平臺，使“宋”成為全球首款覆蓋純電、雙模、燃油三大動力系統的“全擎全動力” 車型。成熟的“三電”核心科技，使兩車擁有良好的性能：宋DM百公里加速僅4.9秒，宋EV300擁有300公里的超長純電續駛里程。多種動力形式也為消費者提供了更多元的購車選擇，在上海車展上，比亞迪還將推出一款宋七座版車型。據悉，未來比亞迪車型均有可能參照宋的模式，以平臺化的方式豐富產品序列。
705,　　比亞迪致力於以技術促環保，現正逐步匯聚全球智慧，從產品設計、市場推廣、品牌形象、戰略佈局等方面全面推進綠色夢想。通過品牌實力的不斷提升，比亞迪會為消費者帶來更優質的車型產品、更貼心的用車體驗，為社會創造出更完善的綠色大交通整體解決方案，真正實現綠色夢想。
706,"　　,中新網,4月18日電 兩年一度的上海車展即將在4月19日正式拉開帷幕，在這場汽車屆的饕餮盛宴上，上汽通用五菱將展出一款全新產品，它將是五菱品牌打造的首款SUV車型，定位於7座SUV，未來將為追求性價比和實用性的消費者提供大的選擇空間。"
707,　　五菱品牌首款SUV整體造型大氣協調，車身精心雕琢的肌肉線條和貫穿前臉的單輻蜂巢式進氣格柵，使其散發著硬朗陽剛之氣，燻黑透鏡大燈也讓其前臉的質感有所提升，車身側面採用了懸浮式車頂設計，與車頂行李架和16寸精車輪轂搭配起來更協調，同樣符合時下年輕人的審美；車輛尾部造型依舊方正硬朗，全LED尾燈組合更是科技感十足，擁有更加出色的視覺效果。
708,　　新車長寬高分別為4655/1735/1780mm(高配車型為1790mm)，軸距長達2800mm。
709,　　在SUV持續火熱的市場背景下，消費者對於“五菱牌SUV”的呼聲越來越高，大家對於“五菱牌SUV期待已久”。對於上汽通用五菱而言，始終堅持著“以用戶需求為核心”的造車理念，“五菱牌SUV”的誕生，不僅迎合了消費者對於7座SUV的需求，同時將助力企業進一步推進乘用化轉型。
710,　　目前智能網聯汽車已經實際運用在工業領域，但是距離載人汽車實現無人駕駛，尚有“最後一公里”需要打通。這已經成為世界車輛工程領域研究的熱點和汽車工業增長的新動力。其技術路徑是如何讓車載網絡成為車輛的“神經系統”，由此實現信息採集、傳遞、計算、反饋、控制的功能，從而為駕駛者輕鬆駕駛、安全駕駛、明白維修保駕護航。
711,　　近日，由車載信息服務產業應用聯盟、合肥工業大學智能製造技術研究院共建的安徽省車聯網技術研究中心在合肥正式成立，該中心將針對毫米波雷達、車車通訊與網絡安全等智能網聯汽車領域關鍵技術，聯合有關科研院所和汽車整車、零部件生產企業開展協同創新行動。
712,"　　,毫米波雷達：“擦亮”智能汽車的眼睛"
713,　　據悉，按照我國節能與新能源汽車發展技術路線圖，到2030年，市場上10%的汽車將實現完全自動駕駛。實現無人駕駛，首先要具備道路環境識別的能力。
714,　　“毫米波雷達、激光雷達和視覺傳感器，可以被稱之為智能網聯汽車的眼睛。”合肥工業大學汽車電子與測控技術研究所所長孔慧芳教授介紹說。通過這雙眼睛，車輛可以準確觀測行人、障礙物或其他車輛的位置和運動方向，有效獲取道路信息，從而確保車輛順利、安全行駛。而毫米波雷達，由於其信號不易衰減，受雨雪、塵埃等環境干擾較小，成為智能汽車有形之眼的最佳選擇。
715,　　目前，我國車用毫米波雷達的應用仍處於測試階段，相關技術和產品的研發與測試需要汽車生產企業、雷達生產企業、無線電監控監測中心協同作戰。
716,　　而“眼睛”採集到的道路圖像信息，將通過綜合圖像處理、機器視覺與機器學習等先進技術進行分析，將實際道路中的環境信息檢測並提取出來，實現對當前道路環境的智能識別。這些道路信息和車輛各電器間的控制信號和狀態信息，又將通過總線技術在車輛內部網絡上即時傳遞，從而實現對車輛運行的控制和車載電器的狀態監控。
717,"　　,車車通訊：練就智能汽車的“千里眼”"
718,　　擦亮眼睛讓車輛具備了自主觀測路況的能力，但僅僅如此，還不能實現車輛的智能化。“依託無線通訊，通過車聯網技術，在車輛與車輛之間、車輛與路測設施之間形成的交互網絡，才能練就智能汽車的千里眼。”孔慧芳說，所謂車聯網，就是車、路、人一體化網絡及其應用。
719,　　目前，車聯網技術在汽車上的應用已經比較普遍，很大程度上提升了人們的駕駛體驗。不過，目前的車聯網技術應用主要還是定位導航、娛樂資訊、車輛防盜等初級功能。
720,　　而智能汽車的千里眼，就是基於車聯網技術，在車-車、車-路、車-人、車-設施等之間形成信息交互，將採集到的車輛位置、速度和路線等各類信息進行交互與共享，其構成的巨大交互網絡，即使在雨、雪、霧惡劣天氣下也可以幫助車輛實現行駛環境的感知，實現臨時障礙預警、車間距離預警與控制等危險辨識響應。值得一提的是，由於車輛之間可以共享道路狀況信息，當前車發生事故時，可以即時提示後續車輛提前做好減速準備，或避開事故路段。
